Date,Message,Sunsign,Count
11/20/2012,LEO : You could get extravagant in this period and spend on objects that may be needless later. Keep a hand on reckless expenses.,Leo,129
11/20/2012,VIRGO : Excellent time for time for people who belong to media sector. You are going to work from your soul with truth and honesty.,Virgo,131
11/20/2012,LIBRA : Those in creative fields may be honoured and awarded for their outstanding contributions. It could be a salary hike or any gift.,Libra,136
11/20/2012,SCORPIO : There will be progress in many plans. Your health is fine the mood is upbeat and you feel positive and energetic.,Scorpio,124
11/20/2012,SAGITTARIUS : Pending matters are likely to be resolved. Solid foundations are to be laid for new projects. Do not get pushy and aggressive.,Sagittarius,140
11/20/2012,CAPRICORN : You may think to pay attention to grooming and enhancing inter-personal skills and manners. You may complete the pending tasks.,Capricorn,139
11/20/2012,AQUARIUS : Go to the bookstore or the library and find books on philosophy and psychology. Today is a good day to increase your knowledge.,Aquarius,138
11/20/2012,PISCES : Speak up and take charge of yourself. Clear the air between you and your partner but choose your words carefully.,Pisces,123
11/21/2012,ARIES : While there is probable wish-fulfillment  there is also much anxiety. Fair amount of socializing can be expected.,Aries,122
11/21/2012,TAURUS :  Take better care of yourself stop addictions and find an exercise regime! Eat healthy and practice good habits.,Taurus,122
11/21/2012,GEMINI :  You have a great sense of wonder and you need to get back in touch with your inner child. Have a simple day of not caring.,Gemini,132
11/21/2012,CANCER : If you just don?t feel like socializing; don?t but stay away from conflict and fights. Just be honest about how you are feeling.,Cancer,137
11/21/2012,LEO : Call long lost friends and communicate with those you haven?t spoken to in a long time. People will listen you today.,Leo,123
11/21/2012,VIRGO : Treat yourself to a small luxury but stay within your budget. This will be a great treat for you after working so hard!,Virgo,127
11/21/2012,LIBRA : You may be invited to marriages in family or friend circles. Despite all the distractions you will shine at workplace.,Libra,127
11/21/2012,SCORPIO : Keep to your own company today. You are entering your low lunar cycle so dry to push yourself. Take plenty of vitamin C.,Scorpio,133
11/21/2012,SAGITTARIUS : Friendship is on your mind today. Find a friend who can support you whenever you need a shoulder to cry on.,Sagittarius,121
11/21/2012,CAPRICORN : There may be a female co-worker who is highly supportive of you today. There is much contention in the air today at work.,Capricorn,134
11/21/2012,AQUARIUS : You may want to learn more about a new culture. Open your mind and shake out the dust; you will find it invigorating.,Aquarius,128
11/21/2012,PISCES : If you have a difference of opinion that leads to an argument with a friend back down and give your friends their space.,Pisces,130
11/22/2012,ARIES : You may need to offer a shoulder to your friend or a partner who is going through weighty issues. Be supportive.,Aries,120
11/22/2012,TAURUS : You are feeling very confident and powerful today. You work well under pressure. Keep surrounding yourself with positive influences.,Taurus,141
11/22/2012,GEMINI : Take relax from your work and find some time for fun. Express your creativity and don?t waste your time in mindless things. ,Gemini,133
11/22/2012,CANCER : Avoid any quarrels with family friends or colleagues. Take care of things that are important in your life. Do not compromise.,Cancer,135
11/22/2012,LEO : Being home can be fun for you. You will be expressive and will laugh at your mistakes. Life brings happiness for you.,Leo,123
11/22/2012,VIRGO : Be careful in attaining what you want. . Energy to create something positive should be your goal today. Be imaginative and resourceful.,Virgo,143
11/22/2012,LIBRA : Do what makes you happy. Participate in social events. Go for a walk. You need to take rest from your work now.  ,Libra,121
11/22/2012,SCORPIO : You may take relax and renew your spirits. Allow your body rhythms to complete the check. You may  find some time for you.,Scorpio,132
11/22/2012,SAGITTARIUS : You are feeling chatty today but watch out for your words. You may reveal ideas and gossip that you should not reveal.,Sagittarius,132
11/22/2012,CAPRICORN : You can plan for some social service today and do some good deeds. You may also need accolades. You may feel high today.,Capricorn,132
11/22/2012,AQUARIUS : You may try to run away from responsibilities today. A car trip to a neighboring town for exploration will make you feel good.,Aquarius,137
11/22/2012,PISCES : Try not to borrow or lend money today to friends colleagues or any family member. Remain supportive but get out of the way.,Pisces,135
11/23/2012,ARIES : Act optimistic and be open-minded to welcome opportunities coming your way. Stop repenting for the things that you are lacking. ,Aries,136
11/23/2012,TAURUS : Get involved in every good thing going on around you. You need to discuss about your dreams and goals with people around you.,Taurus,134
11/23/2012,GEMINI : This is a good day to work with others and you will find yourself doing your best. Try to make the projecst as pleasant as possible.,Gemini,141
11/23/2012,CANCER : During the next several weeks you are going to concentrate on your career your daily routines and your well-being.,Cancer,124
11/23/2012,LEO : You don?t need much persuasion to go to parties and you could meet someone very interesting at a friend?s pre-Christmas party.,Leo,132
11/23/2012,VIRGO : This is an opportunity to get to know you family more better. Enjoy the cozy and nostalgic feelings this season. ,Virgo,121
11/23/2012,LIBRA : You have the discipline to finish your work at time. You may have a busy time socially in the coming next several weeks.,Libra,128
11/23/2012,SCORPIO : You need to continue focusing on the matters. Devote time for the people things and places that mean  to you.,Scorpio,121
11/23/2012,SAGITTARIUS : You may plan for the future and make further decisions. You may also work on personal projects. Be confident in what you do.,Sagittarius,138
11/23/2012,CAPRICORN : You may learn how to be solitary in the next few weeks and today is a good day to start. You need a well-earned rest alone.ÿ,Capricorn,136
11/23/2012,AQUARIUS : Go for your own goals and dreams. As you move toward these goals mark off the milestones; you will be able to achieve them.,Aquarius,134
11/23/2012,PISCES : You may concentrate on your career and long term goals. Push yourself forward and let others know. Grab the limelight.,Pisces,127
11/24/2012,ARIES : You may be carried beyond the bounds of normal activity. Stay within the parameters. You may not enjoy travelling today.,Aries,128
11/24/2012,TAURUS : You may feel annoying today. These may include finance annoyances as well as friends who want to borrow money and not pay it back.,Taurus,139
11/24/2012,GEMINI : Listen carefully to what people are saying but do only what your heart says. Confusing partners may make life complicating.,Gemini,132
11/24/2012,CANCER : You need to focus on your health. Do not start anything new; this is not the right time. Be confident at workplace.,Cancer,124
11/24/2012,LEO : You can open your heart to romance today but it would be better if you think before you leaping too far. Lovely day for you.,Leo,130
11/24/2012,VIRGO : You have been consistent and persistent. Have a dinner with your partner tonight and celebrate happiness together.,Virgo,122
11/24/2012,LIBRA :  Misunderstandings and confusion may frustrate you and you need to slow down. You need to focus on your work affronts.,Libra,126
11/24/2012,SCORPIO : You may tighten your belts today. Relax as business moves slowly and reconsider your priorities. Your funds may be held up.,Scorpio,133
11/24/2012,SAGITTARIUS : You should try not to make any expensive purchases. You will try to resolve the conflicted matters in the family.,Sagittarius,127
11/24/2012,CAPRICORN : You are going to find it hard to express yourself today. Be precise and confident while communicating with people. ,Capricorn,127
11/24/2012,AQUARIUS : Avoid any slip of tongue while speaking. Spend more time while listening instead of speaking. Be open minded and find friends.,Aquarius,137
11/24/2012,PISCES : Try to avoid any sort of confusion. You need to stay focussed and aware of people around you. Take notes at work.,Pisces,122
11/25/2012,ARIES : You may plan to travel today. You will find an adventurous passion inside you. Romance and love is likely to be highly favored today.,Aries,141
11/25/2012,TAURUS : You may face challenges today. You may need to start some new tasks today. A female friend or co-worker may be drawn towards you.,Taurus,138
11/25/2012,GEMINI : There may be bad ideas at work but you can manage to eliminate them. Listen to other ideas but examine on your own.,Gemini,124
11/25/2012,CANCER : Neglecting your health may cause a problem for you. You may try to manage all informations that you are receiving.,Cancer,123
11/25/2012,LEO : You are on your creative best. You will be highly passiionate today. Some fair changes may occur which can help you find no matter what.,Leo,142
11/25/2012,VIRGO : Be kind towards your co-workers. You may call in late to work today and look forward to spend more time with your family today.,Virgo,135
11/25/2012,LIBRA : Your charming and creative nature will boost your day today. You may plan to organise a party with friends.You will feel better.,Libra,136
11/25/2012,SCORPIO : You may plan to make a fresh start in business and finances. You may look forward to accomplish your dreams and pursue your career.,Scorpio,141
11/25/2012,SAGITTARIUS : Your relationship will help to create a positive feeling in you.It all depends on your state of mind. Get over the past.,Sagittarius,134
11/25/2012,CAPRICORN : You many spend time in self - healing. The dark clouds are gone now. Step forward and try to decipher the codes of life.,Capricorn,132
11/25/2012,AQUARIUS : You will have fun with new circle of friends. Future money issues may worry you. You lead your life in your own way.,Aquarius,127
11/25/2012,PISCES : You may take initiatives to refine your own personality. An opportunity for career change may come to you. Go for it.,Pisces,126
11/26/2012,ARIES : Looking on sunny sides of life will make you feel positive today. Your confidence will help you to face challenges.,Aries,123
11/26/2012,TAURUS : Stay away from any kind of power struggles or secrets today. You need to understand that good deeds pay you good.,Taurus,122
11/26/2012,GEMINI : You may feel alone today and this might make you frustrated. You seek for company of someone. Avoid making any sort of rash decisions.,Gemini,143
11/26/2012,CANCER : Talk to yourself today. Try to avoid all the cluttered thoughts that keep coming to your mind. This is a day to serve your best.,Cancer,137
11/26/2012,LEO : You may feel flirty today. Do not cross limits and make sure you are sensitive to your best friends and their emotions.,Leo,125
11/26/2012,VIRGO : Control over your emotions.Shout if you want to.Do not try to please everyone otherwise you'll end up hurting yourself.,Virgo,127
11/26/2012,LIBRA : You may be one who can give any unpleasant news to the family members. Use your sense of humor and try to make the situation easy.,Libra,138
11/26/2012,SCORPIO : You hate what you are doing as far as career you find something wrong. Try to do what you love and love what you do.,Scorpio,127
11/26/2012,SAGITTARIUS : With the arrival of Venus in your sector your finances may brighten up. The power of change is in your hand. Wait and watch.,Sagittarius,139
11/26/2012,CAPRICORN : You are planning for future. Avoid any kind of fear or anxiety.  Accept optimism and be positive. It will help you go far.,Capricorn,134
11/26/2012,AQUARIUS : Things may be funny and lighter for you today. Someone around you may need your helping hand. Be supportive for him.,Aquarius,127
11/26/2012,PISCES : Your superior is trying to rule over your ideas and you find it unfair. Use flexibilty and tacts to sway their minds.,Pisces,126
11/27/2012,ARIES : You have been loving and carefree the last few days. But its time to get serious with your work and business now.,Aries,121
11/27/2012,TAURUS : You may be attracted to some opposite sex and may step up to start a casual conversation. Be ready for small miracles around you.,Taurus,138
11/27/2012,GEMINI : You may find some time for yoga and meditation. Be smart in your choices and associate yourself with people of good taste.,Gemini,131
11/27/2012,CANCER : Find happiness in smallest things. Spend some time listening to your closed ones and try to understand their needs.,Cancer,124
